1585008000-1585612800:0.9203,0.000000,1.793557, nan
1585094400-1585699200:1.0381,0.000000,1.621769,0.452860
1585180800-1585785600:1.1524,0.000000,1.587644,0.445341
1585267200-1585872000:1.1477,0.000000,1.702071,0.470784
1585353600-1585958400:1.1775,0.000000,1.702221,0.469728
1585440000-1586044800:1.2190,0.000000,1.699583,0.477178
1585526400-1586131200:1.2200,0.000000,1.690985,0.475402
1585612800-1586217600:1.1798,0.000000,1.689691,0.471781
1585699200-1586304000:1.1571,0.000000,1.724216,0.479300
1585785600-1586390400:1.1630,0.000000,1.747055,0.484001
1585872000-1586476800:1.1004,0.004815,1.704205,0.483533
1585958400-1586563200:1.0061,0.019528,1.711704,0.495238
1586044800-1586649600:0.8934,0.044320,1.734987,0.478846
1586131200-1586736000:0.9139,0.096754,1.789039,0.484193
1586217600-1586822400:1.0148,0.149383,1.828055,0.491434
1586304000-1586908800:0.8863,0.248231,1.860295,0.435038
1586390400-1586995200:0.8090,0.353916,1.860777,0.423968
1586476800-1587081600:0.9263,0.832997,1.888113,0.406476
1586563200-1587168000:0.8591,0.835863,1.869453,0.380910
1586649600-1587254400:0.9469,0.808998,1.867555,0.410707
1586736000-1587340800:0.9181,0.806454,1.826313,0.416619
1586822400-1587427200:0.9392,0.799958,1.857442,0.441438
1586908800-1587513600:1.0287,0.817155,1.875337,0.486835
1586995200-1587600000:1.1225,0.724565,2.003636,0.512400
1587081600-1587686400:1.3262,0.364218,1.993276,0.551657
1587168000-1587772800:1.4136,0.504161,2.029619,0.546605
1587254400-1587859200:1.4513,0.513594,2.022400,0.546294
1587340800-1587945600:1.4423,0.508464,2.011632,0.539379
1587427200-1588032000:1.4398,0.527801,2.020433,0.542015
1587513600-1588118400:1.4576,0.527980,2.010401,0.548623
1587600000-1588204800:1.5076,0.554408,2.005997,0.553069
1587686400-1588291200:1.4236,0.594268,2.027231,0.547148
1587772800-1588377600:1.3961,0.482613,1.975846,0.560040
1587859200-1588464000:1.2166,0.471180,1.965277,0.551905
1587945600-1588550400:1.1455,0.466390,1.984284,0.573886
1588032000-1588636800:1.1495,0.528362,1.929445,0.558714
1588118400-1588723200:1.2146,0.591242,1.968482,0.576504
1588204800-1588809600:1.1505,0.537921,1.915249,0.568432
1588291200-1588896000:1.1746,0.554089,1.897156,0.589688
1588377600-1588982400:1.1670,0.563003,1.901933,0.597058
1588464000-1589068800:1.2090,0.554902,1.919937,0.612413
1588550400-1589155200:1.2130,0.581835,1.928262,0.615758
1588636800-1589241600:1.3696,0.471786,1.863258,0.651025
1588723200-1589328000:1.4574,0.441319,1.828083,0.649045
1588809600-1589414400:1.4653,0.436342,1.866998,0.662439
1588896000-1589500800:1.5148,0.446658,1.874021,0.664140
1588982400-1589587200:1.5001,0.464308,1.869402,0.660411
1589068800-1589673600:1.5224,0.474394,1.866532,0.658313
1589155200-1589760000:1.5814,0.460540,1.863729,0.657463
1589241600-1589846400:1.7870,0.474432,1.881545,0.709139
1589328000-1589932800:1.9182,0.467788,1.898675,0.737162
1589414400-1590019200:2.0230,0.517997,1.880564,0.735318
1589500800-1590105600:1.8261,0.551318,1.889571,0.730206
1589587200-1590192000:2.4729,0.864924,2.367077,0.761660
1589673600-1590278400:2.6253,0.910207,2.342904,0.760776
1589760000-1590364800:2.4906,0.960886,2.331182,0.757911
1589846400-1590451200:2.3293,1.003901,2.290131,0.733836
1589932800-1590537600:2.3540,1.005650,2.277790,0.738170
1590019200-1590624000:2.3637,1.017283,2.268739,0.743340
1590105600-1590710400:2.3763,1.036022,2.257878,0.746697
1590192000-1590796800:2.2642,1.078002,2.147475,0.737413
1590278400-1590883200:2.0413,1.074545,2.100613,0.729120
1590364800-1590969600:2.0032,1.044080,2.059750,0.727343
